hour,day_of_week,is_weekend,rain_intensity,temperature,humidity,event_flag,rush_hour,avg_speed,traffic_flow
0,6,1,0.35,23.9,73.9,0,0,57.4,56.0
0,6,1,0.28,33.1,72.5,1,0,54.1,115.0
0,6,1,0.06,21.3,48.3,0,0,60.0,50.0
0,6,1,0.44,12.8,38.4,0,0,47.9,68.0
0,6,1,0.64,23.2,42.0,0,0,48.3,183.0
0,6,1,0.24,20.9,40.2,0,0,53.6,65.0
0,6,1,0.02,39.8,37.3,0,0,55.8,55.0
0,6,1,0.13,28.1,69.8,1,0,41.0,122.0
0,6,1,0.0,26.6,88.2,0,0,58.7,77.0
0,6,1,0.0,12.3,46.3,1,0,58.4,91.0
1,6,1,0.3,10.9,38.5,0,0,56.6,104.0
1,6,1,0.47,31.0,34.4,0,0,53.1,71.0
1,6,1,0.3,32.8,49.9,1,0,48.6,125.0
1,6,1,0.55,17.8,68.3,0,0,57.6,99.0
1,6,1,0.31,19.8,75.6,0,0,51.8,132.0
1,6,1,1.21,17.6,55.7,0,0,48.0,140.0
1,6,1,0.23,9.1,84.5,0,0,47.5,67.0
1,6,1,0.0,30.9,34.6,0,0,53.7,50.0
1,6,1,0.47,27.6,78.2,0,0,50.5,138.0
1,6,1,0.11,30.4,36.6,1,0,45.0,102.0
2,6,1,0.29,27.1,30.4,0,0,58.0,50.0
2,6,1,0.08,22.7,50.3,0,0,56.8,70.0
2,6,1,0.77,26.4,51.8,0,0,43.2,112.0
2,6,1,0.0,17.1,32.2,0,0,60.0,72.0
2,6,1,0.14,27.4,38.7,0,0,53.4,88.0
2,6,1,0.43,15.8,75.7,0,0,46.6,118.0
2,6,1,0.62,13.8,68.0,1,0,50.6,131.0
2,6,1,0.05,32.4,41.2,1,0,49.1,112.0
2,6,1,0.0,25.5,68.7,0,0,49.0,86.0
2,6,1,0.39,23.7,38.3,0,0,53.3,68.0
3,6,1,0.44,15.2,79.0,0,0,60.0,136.0
3,6,1,0.1,23.4,83.8,0,0,57.6,84.0
3,6,1,0.0,14.4,73.6,0,0,59.4,89.0
3,6,1,0.27,31.8,30.6,0,0,49.4,94.0
3,6,1,0.76,28.8,69.1,0,0,45.1,135.0
3,6,1,0.0,16.0,74.8,0,0,54.6,99.0
3,6,1,0.45,40.2,35.6,0,0,52.1,54.0
3,6,1,0.46,23.1,67.9,0,0,60.0,96.0
3,6,1,0.12,46.8,41.7,0,0,60.0,50.0
3,6,1,0.21,23.9,40.6,0,0,57.9,75.0
4,6,1,0.34,24.4,87.8,0,0,58.2,76.0
4,6,1,0.51,22.3,49.0,1,0,42.2,155.0
4,6,1,0.25,28.1,64.2,0,0,49.1,91.0
4,6,1,0.52,25.4,74.4,0,0,55.4,131.0
4,6,1,0.0,17.5,78.6,1,0,52.7,114.0
4,6,1,0.21,32.0,60.1,0,0,58.3,99.0
4,6,1,0.49,30.2,83.4,0,0,47.8,63.0
4,6,1,0.25,18.2,32.2,0,0,39.2,153.0
4,6,1,0.41,12.1,31.8,0,0,53.4,66.0
4,6,1,0.67,26.0,42.9,0,0,54.7,86.0
5,6,1,0.21,19.8,62.4,0,0,54.9,123.0
5,6,1,0.2,28.5,49.4,0,0,59.6,62.0
5,6,1,0.0,24.1,31.5,0,0,60.0,50.0
